"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"63","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","davvero ottimo","riccardo p","davvero molto bello dettagliato e abbastanza facile da assemblare anche per chi  alle prime armi come me ne ho gi ordinato un altro",2016-07-22,5,"verified purchase"
"64","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","great kit","timbo","awesome build for a gundam wing classic gundam frame all the little latches and missile pod covers are fun to build and gives the kit an extra level of complexity while the frame itself is still basic",2019-06-22,5,"verified purchase"
"65","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","gundam","flyingdonkeyking","its a bandai gundam cheaper elsewhere but its here if you dont have a store nearby or you dont want to wait for another retailer to ship i love this kit",2023-11-08,5,"verified purchase"
"66","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","excelente kit","abraham","siempre quise este kit llego mas rpido de lo esperado y en excelentes condiciones totalmente recomendable",2020-03-25,5,"verified purchase"
"67","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","fun kit with a few flaws","craig byers","this was my second model kit as heavyarms is one of my favorite gundams there are a lot of small parts most fit well the arms are a little loose but nothing super aggravating but ive heard glue on the joints helps there is space to display all the weapons gun knife and shield so you dont have to pick which ones to displaythe real frustration is with the gun it doesnt hold very well and the chain has a tendency to pop off i found that super glue on the end pieces of the gatling chain help but you have to be prepared to deal with a weak hand grip because of that the gun only really comes up about  degrees on its own and the gund will pop out of the hand easily its a little frustrating but can be worked around you could probably apply some glue to help too but i didnti really recommend taking this kit slow make sure youre orienting things correctly before you snap them down dont be afraid to lay out all the pieces in the diagram step before you push them together and move on also there is an unmarked piece of black wire  small strands bound together do not throw this away it is part of the chain for the gatling gun but was unmarked and unpackaged in my box",2023-11-04,5,"verified purchase"
"68","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","amazing looking kit a nightmare to work with","craig byers","ill start with the good it looks absolutely immaculate and amazing even just snap built some parts need some color correction like the gun with its accessories and the backpack to a black color because its a slightly darker gray which is a little off a little bit of customizing and weathering its heavyarms he gets dirty goes a long way with it and really makes it pop its also pretty well balanced and stable so it can hold a pose really well even on my handmade custom action basenow for the bad parts of this kit is super brittle and i had parts break on me namely small unfixable parts the chest panel clips feel like theyll break if you try to close them and one did the extra folding gatling gun handle broke on me and the backpack arms both broke on me if you decide to paint spray paint or topcoat these problems will become more of an issue essentially i had to buy a whole other kit to replace the broken pieces especially since i didnt know what could possibly break next so if you keep those things in mind and youre very careful you should be fine but be prepared for it in caseoverall love the kit but its a beautiful nightmare wing kits are known for having their own build issues so as long as you know what they are and how to deal with them youll be fine still recommend to all those gundam wing lovers out there ",2022-09-18,4,"verified purchase"
"69","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","makes you wish there were more wing kits coming out soon","james","this kit was the last of the five gundams that were released a couple years ago following katoki hajimes wing gundam redesign that was released in  at first i was confused as to how the mecha designs were named and where they came from since there was the tv versions kai versions endless waltz customs from the movieova and now these i really enjoy katokis designs and his decision to redesign the original five gundams to reflect the way they appear in the ova really made a good excuse to swap colors and milk the kits whenif they decide to release the other  custom gundams since we already have deathscythe hell and wing zero custom in terms of being a built kit i really enjoyed it taking some silver paint and applying it to the rockets really makes them pop when you open up all the missile bays since im a busy architecture student i sprayed on topcoat directly onto the frames which i hung from string outside that took away the plastic shine allowed the stickers to blend in more unless youre really close to it and unfortunately reduced the margin of error when panel lining so you have to be careful this kit requires a little bit of extra work to make it look really nice but its well worth it when its done making it look more like a piece of military machinery than a plastic kit with stickers all over it posing is fun and all the joints move a great distance standard for a kit this recent im looking at you unicorn your inevitable perfect grade better have  degree bends all over the place its just a shame the feet dont bend up to allow some running poses and the beam gatling gun ammo chain can be problematic when youre trying some real dynamic poses all in all i highly recommend this kit despite the flaws because putting a little elbow grease can really make it look sharp youll have fun putting the model in a variety of poses and as a fan of katokis designs makes me eager for more wing kits especially ones from frozen teardropbootz",2013-04-06,4,"verified purchase"
"70","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","some experience needed","james","my son has had experience with easier kits and was looking forward to building this one there are some really small parts so be careful not to lose any while building this one if the time is taken to fine detail this kit as in panel liner then this kit will look even better it will not disappoint",2023-05-27,4,"verified purchase"
"71","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","love this heavy arms","johandry","heavy arms if my favorite gundam and i enjoy building this kit that been said is not perfect the leg pegs dont stay in and can easily pop off this is a build it pose it and leave it alone kit i would love for banday to upgrade this kit fix the kits quarks and scale up the size",2023-01-10,4,"verified purchase"
"72","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","missiles machine guns and gattling oh my","joey gunota","i absolutely love this kit  the design is very appealing especially if you like something with a lot of missiles  all the compartments open up as they should to reveal the stored missiles on the shoulders legs front and side skirt armor and the chest opens up to show the machine guns inside  typical master grade details inside and out with a full inner frame with some decent mechanical detail  especially around the joints  the hands have swappable fingers allowing you a fist open hand gun grip and beam saber grip for both sides  the giant gattling gun looks amazing  the ammunition belt goes together well although some people have said they had to glue the belt into the gun where it attaches  i did not have that issue but it cant hurt anything to do it  the gattling can be stored on the backpack the shield can be mounted on the gun or the arm and heavy arms even comes with a combat knife that mounts to the right arm for melee combat  additionally you have the option of building the left arm with a beam saber holder with beam saber handle no beam blades included though instead of the normal arm if you want to pose it fighting your master grade tallgeese kit  but lets be honest if you build it that way you cant mount that awesome gattling gun",2015-05-03,4,"verified purchase"
"73","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","exactly what a master grade should feel like","doubletapp","much tighter feel than the wing zero or deathscythe master grades ie wing zero wont hold his cannon in certain positions due to weight and death scythe doesnt have as firm of a stance when off display all of the master grades should feel like this one once completed im surprised how well he holds up the minigun with no slump or loose feeling to it no wobble to jiggle if u like gundams and havent gotten heavy arms yet you need to get him i mean aside from being nice and tight and not like too tight either where its a pain in the butt to manipulate poses or battle stance i feel like with heavyarms i simple decide what position i want and put him in it no parts fall off no skirts fall off not the arms or a leg and if ur reading this review and have previously built a high grade or up then you kno what i mean and while at first glance this gundam isnt my favorite i would pick wing zero or shenlongnataku over it this gundam delivers more than delivers in my opinion the tight articulation the copious amounts of missle pods and weaponry is just stupid beautifully stupid  all opened up this thing is a beast in ever sense of the word and you wont regret adding him to the collection",2015-03-02,5,"verified purchase"
"74","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","same piece broke twice","impressed","we have bought this gundam twice now and the same piece xb a part of the shoulder joint broke both times weve had no problems with any other gundams its a very cool piece just be careful",2023-07-07,5,"verified purchase"
"75","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","not your daddys model kit","al g","actually in the case of my son it is his daddys model kit my son is  and just really coming into his own with lego kits and simple models i wanted a nice model somewhat similar to the transformers he already plays with i enjoyed the gundam wing series as a kid so i picked up this model to show him just what a model kit could beman is this model nice looking its way beyond the of snap tight model jets i used to build articulation is amazing and the details are spot on as mentioned by others the ammo feeder is a pain to keep plugged in and the hand doesnt hold the gun well at all other than that take your time carefully read the directions and youll have a nice gundam in a few hours",2020-08-23,3,"verified purchase"
"76","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","your gonna love this build","amazon customer","this was the best starter model ive ever bought i wanted to get my nephew into the hobby an boy howdy did heavy arms do it i wont lie he opened the box seen the model an was like no way i can ect but even with all that doubt the work it would take he finished the model and ive bought  others from this vendor i recommend you do the same people",2022-08-22,4,"verified purchase"
"77","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","a great kit with dated decals","steven james vandre","ive recently returned to building gunpla within the past year and this kit caught my eye  with a gloss coat the gun and missiles look amazing  the mg mobile suit looks noticably better than the hgac models even without the arm mounted vulcan my only gripe which is minor with this kit is that all decals were stickers  while they are a bit harder to use rubons and waterslide just look so much better  i am hoping bandai andor bluefin eventually return to these older kits and update the decals to either one i would prefer waterslide because you can use mr mark setter to melt it to the part if you like the way it looks in the previews and dont mind placing sticker decals this is a must have for gundam wing fans",2020-07-01,5,"verified purchase"
"78","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","excelente","manuel enrique lpez daz","tengo la versin rg pero la versin mg lo supera por mucho el nivel de detalle es mayor al punto de incluso traer un piloto para darle ms realismo recomendado",2022-12-21,5,"verified purchase"
"79","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","worth the effort","amazon customer","looks great  worth the effort",2023-04-04,5,"verified purchase"
"80","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","great but duplicated parts","eli","love it my first gundam and its one that speaks i love firepower no beam piece but your given a handel so a dead lightsaber basically but it really challenged my mind and patience wich i needed how ever i discovered by using a small rubber band you can hold the gattler to one arm with no trouble and i was forced to gorrila glue the tips of the ammo belt so they dont pop off and send ammo every were but it does help being creativelast thing that was upsetting is that the leg rocket covers ave  identical parts instead of two on two so i might need to figure out how to make it look battle damaged but ill manage deffenetly a goodway to spend the day or afternoon",2020-01-09,5,"verified purchase"
"81","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","wonderful build","ron rose","very cool kit and definitely one you should spend time on to get all of the details  this is the th ew kit i have built and has all of the really awesome articulation and details that you might expectthe only reason for  stars is that the gun is very flimsy  the hand will fall off constantly trying to hold it and keep it upright so i had to unfortunately glue it  the ammo chain is also very tedious as you have to cut out each of those small pieces and then sand down the nubs  the chain also must be glued so it stays intact otherwise one mistake could cause all of the parts to fall off  if none of this bothers you then get the kit  i still would even knowing what i do nowlove it",2018-05-01,4,"verified purchase"
"82","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg"," stars great master grade kit","ron rose","this is a fantastic kit and i so want to give it  stars but one thing that irks me so much i think another reviewer commented on it as well what is up with the left hand not being able to hold the gun tight enough i know in the directions it shows you using both arms to hold it upright etcbut i just want to pose it like the regular pics and i am struggling to get it quite right looking the ammo belt is a bit tight in slack so you have to be careful and getting the arm hand  thumb to stay in the right position is tedious to say the leastoverall this is a great kit looks wonderful the details is very impressive its probably the best version in mg of heavyarms around just wish one of the multiple hands they give you to choose from would actually just hold this gun tightly",2016-09-01,4,"verified purchase"
"83","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","gundamnnn","arcbird","what would you expect its made in japan so quality is superb",2023-02-17,4,"verified purchase"
"84","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","everything dies","anyaxxx","first the bad points  if you are reading this and you arent into modeling consider this a  star review im not saying dont get this but open a new tab in your browser and look up how to guides on gunpla master grades are serious kits with a serious price and you shouldnt hop in blindly everyone says this and thats because its true there is no blade for the beam saber seriously bandai what the actual hell i dont know if this is my kit or every kit but the white is a lie its much more of a cream color im not upset about it it looks gorgeous but if you want that white you may have to get a paint brush or else display this guy aloneand the good things the balance is great the posing is all good the gun limits some of it but he holds it like a champand the build was a lot of funmany have said that this is the best of the wing ew mg kits and i can see why it is damn near perfect",2013-12-27,4,"verified purchase"
"85","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","great build with some lousy accessories","jeremy","loved  of the build  it feels solid and im looking forward to adding the markings and panel lining but i have spent  days trying to get this iconic minigun into his hands and  its just not happening  tempted to use some super glue or something as its really frustrating  not to mention the cord attached to the gun pops out of its slot if you move the model half a bloody centimetre ah well  onto the next model ",2020-09-03,5,"verified purchase"
